"","country","year","dem_ind","log_gdppc","log_pop","age_1","age_2","age_3","age_4","age_5","educ","age_median","code"
"46","Argentina",2000,1,9.23660945892334,10.4564504623413,0.289001405239105,0.248389303684235,0.189973503351212,0.140790402889252,0.131845399737358,8.11900043487549,27.3999996185303,6
"59","Australia",2000,1,10.0119600296021,9.80161952972412,0.215194806456566,0.225652903318405,0.233399704098701,0.167441293597221,0.158311203122139,10.3070001602173,33.7000007629395,9
"68","Austria",2000,1,9.95350170135498,8.99305438995361,0.175447300076485,0.213966205716133,0.231983095407486,0.181038796901703,0.197564601898193,8.43900012969971,36.4000015258789,10
"85","Belgium",2000,1,9.94823169708252,9.22392654418945,0.179737597703934,0.201440304517746,0.22955510020256,0.17559440433979,0.213672697544098,8.54599952697754,37.5,15
"93","Benin",2000,0.833333313465118,6.97151184082031,8.61104774475098,0.479517191648483,0.253474801778793,0.150877803564072,0.0724214017391205,0.0437088012695312,1.94599997997284,16,16
"106","Bangladesh",2000,0.666666686534882,7.29102420806885,11.6963300704956,0.410498708486557,0.282295793294907,0.174715995788574,0.0840964019298553,0.0483931005001068,2.3199999332428,19.2000007629395,18
"139","Bolivia",2000,1,7.86878204345703,8.91112518310547,0.40580290555954,0.270891785621643,0.165262699127197,0.0961358025670052,0.0619066990911961,5.18300008773804,19.6000003814697,25
"148","Brazil",2000,0.666666686534882,8.81952476501465,11.9796800613403,0.324054598808289,0.281506389379501,0.210779398679733,0.113107100129128,0.0705526024103165,4.17500019073486,23.8999996185303,26
"154","Barbados",2000,1,9.52459907531738,5.57670593261719,0.226053595542908,0.26819920539856,0.245210707187653,0.118773899972439,0.141762495040894,8.71599960327148,30.3999996185303,27
"172","Botswana",2000,0.833333313465118,8.68087387084961,7.30988216400146,0.427834987640381,0.299613386392593,0.159149497747421,0.0747423022985458,0.0386597998440266,4.7020001411438,18,30
"180","Central African Republic",2000,0.666666686534882,6.99715709686279,8.11581993103027,0.429210096597672,0.262891203165054,0.157377004623413,0.0903130024671555,0.0602086000144482,1.99000000953674,18.3999996185303,31
"189","Canada",2000,1,10.0409297943115,10.2871799468994,0.203576892614365,0.211105406284332,0.256140410900116,0.168352901935577,0.160824403166771,11.1829996109009,34.7999992370605,32
"198","Switzerland",2000,1,10.1078996658325,8.85950565338135,0.171139493584633,0.19179430603981,0.240972295403481,0.196150094270706,0.199943795800209,10.1820001602173,38.0999984741211,33
"207","Chile",2000,0.833333313465118,9.04640674591064,9.56172943115234,0.294531613588333,0.258287012577057,0.222464606165886,0.129073098301888,0.0956436023116112,7.5310001373291,27,34
"216","China",2000,0,7.94382476806641,14.0018701553345,0.264353811740875,0.28570631146431,0.227709695696831,0.128965601325035,0.093264602124691,5.48400020599365,27.6000003814697,35
"232","Cameroon",2000,0,7.52544689178467,9.49348735809326,0.444311887025833,0.266214400529861,0.1470105946064,0.0872969031333923,0.0551661998033524,2.75300002098083,17.6000003814697,37
